feature,importance
previous_landslide_count,0.18332154328807704
rainy_days_30day,0.08657039751071112
rainfall_mean_14day,0.057474048473120015
rainfall_mean_30day,0.050714426855970135
rainfall_accumulation_14day,0.050494444369645626
hourly_rainfall_max_30day,0.04803565377911104
rainfall_max_7day,0.04553433572669912
rainfall_max_30day,0.04521554986412994
rainy_days_7day,0.04457724847887831
rainfall_accumulation_30day,0.04250095893663289
rainfall_max_14day,0.04080468001430629
hourly_rainfall_max_7day,0.03657121877593489
rainfall_mean_7day,0.036195038185106505
rainfall_mean_3day,0.03253912443111605
rainfall_accumulation_7day,0.032116269282578006
rainfall_max_3day,0.030618506462619592
rainfall_accumulation_3day,0.028908017466624015
rainfall_min,0.02402616568863567
rainfall_max,0.023212607659360424
rainfall_mean,0.0215119812901032
rainfall_sum,0.020760297176418772
hourly_rainfall_max,0.0182061290652911
rainfall_std,9.135721893026536e-05
mean_discharge_m3_sec,0.0
max_discharge_m3_sec,0.0
discharge_range,0.0
min_discharge_m3_sec,0.0
mean_discharge_14day,0.0
mean_discharge_30day,0.0
max_discharge_7day,0.0
mean_discharge_7day,0.0
max_discharge_14day,0.0
max_discharge_30day,0.0
discharge_std_14day,0.0
discharge_std_7day,0.0
discharge_std_30day,0.0
discharge_change,0.0
discharge_change_pct,0.0
historical_disaster_count,0.0
