uei,start_date,end_date,duration_days,main_cause,location,districts,state,latitude,longitude,severity,area_affected,human_fatality,human_injured,human_displaced,animal_fatality,extent_of_damage,event_source,event_souce_id,district_lgd_codes,state_codes,severity_score,flood_location_raw,flood_site_raw,flood_year,flood_month,flood_day_of_year,flood_month_sin,flood_month_cos,fatality_present,displacement_present,injury_present,area_affected_numeric,historical_flood_count_location,historical_flood_severity_mean_location,historical_flood_severity_max_location,historical_flood_duration_mean_location,historical_flood_duration_max_location,historical_flood_fatality_mean_location,historical_flood_fatality_max_location,historical_flood_displacement_mean_location,historical_flood_displacement_max_location
UEI-IMD-FL-1970-0002,1970-07-15,1970-07-29,15.0,flood,,Entire village,Uttarakhand,,,,,,,,,"Flooding of Alakanda river caused considerable loss of life among pilgrims. A number of bridges, houses,even an entire village in the Joshimath area were washed away",IMD,,,5,,Entire village,,1970,7,196,-0.4999999999999997,-0.8660254037844388,0,0,0,,1,,,15.0,15.0,,,,
UEI-IMD-FL-1979-0057,1979-03-09,1979-03-09,1.0,heavy rains,,Chamoli,Uttarakhand,,,,,,,,,Number of houses heavily damaged in flash floods,IMD,,47,5,,Chamoli,,1979,3,68,1.0,6.123233995736766e-17,0,0,0,,13,,,1.5384615384615385,7.0,18.88888888888889,70.0,104.5,205.0
UEI-IMD-FL-1980-0055,1980-06-25,1980-06-25,1.0,heavy rains,,Uttar Kashi Kashi,Uttarakhand,,,,,25.0,7.0,,,i)Vast areas inundated ii)The entire Gyansu village situated on the banks of Bhagirathi river destroyed,IMD,,,5,,Uttar Kashi Kashi,,1980,6,177,1.2246467991473532e-16,-1.0,1,0,1,,6,,,1.0,1.0,5.833333333333333,25.0,,
UEI-IMD-FL-1982-0050,1982-04-15,1982-04-28,14.0,heavy rains (unseasonal),,"Dehradun, Almora",Uttarakhand,,,,,,,,,"Harvested,ready for harvest wheat crop damaged",IMD,,"49, 45",5,,"Dehradun, Almora",,1982,4,105,0.8660254037844387,-0.4999999999999998,0,0,0,,1,,,14.0,14.0,,,,
UEI-IMD-FL-1982-0052,1982-08-08,1982-08-14,7.0,flash floods in a nullah,,Chamoli,Uttarakhand,,,,,,5.0,,,4 houses washed away in Admala village (Karanprayag Tehsil),IMD,,47,5,,Chamoli,,1982,8,220,-0.8660254037844385,-0.5000000000000004,0,0,1,,13,,,1.5384615384615385,7.0,18.88888888888889,70.0,104.5,205.0
UEI-IMD-FL-1983-0094,1983-07-22,1983-07-22,1.0,heavy rains,,Almora ,Uttarakhand,,,,,37.0,,,38.0,"The villages Karmi, Patti, Maldah,Danpur in Bageshwari tehsil completely cut off from rest of the state",IMD,,45,5,,Almora ,,1983,7,203,-0.4999999999999997,-0.8660254037844388,1,0,0,,1,,,1.0,1.0,37.0,37.0,,
UEI-IMD-FL-1984-0087,1984-06-29,1984-06-29,1.0,heavy rains,,Nainital,Uttarakhand,,,,,6.0,,,,,IMD,,51,5,,Nainital,,1984,6,181,1.2246467991473532e-16,-1.0,1,0,0,,2,,,1.0,1.0,7.0,8.0,,
UEI-IMD-FL-1984-0088,1984-07-02,1984-07-02,1.0,heavy rains,,Almora,Uttarakhand,,,,,9.0,,,,3 houses damaged,IMD,,45,5,,Almora,,1984,7,184,-0.4999999999999997,-0.8660254037844388,1,0,0,,5,,,1.2,2.0,4.0,9.0,,
UEI-IMD-FL-1984-0090,1984-07-30,1984-07-30,1.0,heavy rains,,Nainital,Uttarakhand,,,,,8.0,,,,,IMD,,51,5,,Nainital,,1984,7,212,-0.4999999999999997,-0.8660254037844388,1,0,0,,2,,,1.0,1.0,7.0,8.0,,
UEI-IMD-FL-1985-0060,1985-07-22,1985-07-28,7.0,flash floods,,Garhwal,Uttarakhand,,,,,12.0,,,,,IMD,,52,5,,Garhwal,,1985,7,203,-0.4999999999999997,-0.8660254037844388,1,0,0,,8,,,2.5,7.0,15.333333333333334,70.0,,
UEI-IMD-FL-1985-0066,1985-10-22,1985-10-28,7.0,heavy rains,,Garhwal,Uttarakhand,,,,,,,,,"A bridge near Malari, situated at an height of 3048 m (10,000 ft) high breached due to landslides",IMD,,52,5,,Garhwal,,1985,10,295,-0.8660254037844386,0.5000000000000001,0,0,0,,8,,,2.5,7.0,15.333333333333334,70.0,,
UEI-IMD-FL-1990-0075,1990-07-09,1990-07-09,1.0,heavy rains,,Garhwal,Uttarakhand,,,,,70.0,,,,,IMD,,52,5,,Garhwal,,1990,7,190,-0.4999999999999997,-0.8660254037844388,1,0,0,,8,,,2.5,7.0,15.333333333333334,70.0,,
UEI-IMD-FL-1991-0100,1991-08-15,1991-08-16,2.0,heavy rains,,Chamoli,Uttarakhand,,,,,32.0,,,90.0,"i)6 villages affected ii)40 hectares of agricultural land submerged iii)96 houses completely,146 partially collapsed",IMD,,47,5,,Chamoli,,1991,8,227,-0.8660254037844385,-0.5000000000000004,1,0,0,,13,,,1.5384615384615385,7.0,18.88888888888889,70.0,104.5,205.0
UEI-IMD-FL-1991-0101,1991-08-16,1991-08-17,2.0,heavy rains,,Almora,Uttarakhand,,,,,1.0,,,14.0,"i)6,709 people in 29 villages affected ii)31 hectares of land area,38 hectares of crop land submerged iii)34 houses completely,115 partially damaged",IMD,,45,5,,Almora,,1991,8,228,-0.8660254037844385,-0.5000000000000004,1,0,0,,5,,,1.2,2.0,4.0,9.0,,
UEI-IMD-FL-1991-0102,1991-08-18,1991-08-18,1.0,heavy rains,,Tehri Garhwal,Uttarakhand,,,,,,,,5.0,3 houses completely damaged,IMD,,55,5,,Tehri Garhwal,,1991,8,230,-0.8660254037844385,-0.5000000000000004,0,0,0,,8,,,1.0,1.0,5.285714285714286,11.0,2.0,2.0
UEI-IMD-FL-2001-0098,2001-07-06,2001-07-06,1.0,heavy rains,,"Uttar Kashi Kashi, Chamoli, Dehradun, Tehri Garhwal, Rudra Prayag, Pithoragarh, Bageshwar, Haridwar, Garhwal, Almora, Nainital, Champawat, Udam Singh Nagar",Uttarakhand,,,,,10.0,,,,(i) Landslides reported (ii)Many people stranded on the way; helped by India-Tibet border police,IMD,,"None, 47, 49, 55, 54, 53, 46, 50, 52, 45, 51, 48, 56",5,,"Uttar Kashi Kashi, Chamoli, Dehradun, Tehri Garhwal, Rudra Prayag, Pithoragarh, Bageshwar, Haridwar, Garhwal, Almora, Nainital, Champawat, Udam Singh Nagar",,2001,7,187,-0.4999999999999997,-0.8660254037844388,1,0,0,,2,,,1.0,1.0,17.5,25.0,,
UEI-IMD-FL-2001-0099,2001-07-16,2001-07-16,1.0,heavy rains,,"Uttar Kashi Kashi, Chamoli, Dehradun, Tehri Garhwal, Rudra Prayag, Pithoragarh, Bageshwar, Haridwar, Garhwal, Almora, Nainital, Champawat, Udam Singh Nagar",Uttarakhand,,,,,25.0,,,25.0,(i) Landslides reported (ii) 26 houses damaged,IMD,,"None, 47, 49, 55, 54, 53, 46, 50, 52, 45, 51, 48, 56",5,,"Uttar Kashi Kashi, Chamoli, Dehradun, Tehri Garhwal, Rudra Prayag, Pithoragarh, Bageshwar, Haridwar, Garhwal, Almora, Nainital, Champawat, Udam Singh Nagar",,2001,7,197,-0.4999999999999997,-0.8660254037844388,1,0,0,,2,,,1.0,1.0,17.5,25.0,,
UEI-IMD-FL-2001-0100,2001-07-18,2001-07-18,1.0,heavy rains,,Rudra Prayag,Uttarakhand,,,,,26.0,,,30.0,"(i) Landslides reported (ii) 4 villages of Vyomguard,Fatta areas cut off (iii) 26 houses completely damaged (iv) Relief,rescue opeations assisted by Polica,Jawans of INdo-Tibet Border Security to remove debris (v) 850 Kedarnath pilgrims stranded between Gupt Kashi,Gauri Kund. traffic closed down on Dehra Dun-Chakrata,Tihri- over diversion, hampering supply of medicines, tents etc to the affected people",IMD,,54,5,,Rudra Prayag,,2001,7,199,-0.4999999999999997,-0.8660254037844388,1,0,0,,12,,,1.0,1.0,7.111111111111111,26.0,10.333333333333334,17.0
UEI-IMD-FL-2002-0059,2002-08-11,2002-08-11,1.0,heavy rains,,"Tehri Garhwal,Uttar Kashi Kashi",Uttarakhand,,,,,33.0,,,,"(i)Landslides reported (ii)Large number of houses destroyed (iii) Army employed for rescue work (iv) Rescue work hampered due to rains,bad light",IMD,,"55, None",5,,"Tehri Garhwal,Uttar Kashi Kashi",,2002,8,223,-0.8660254037844385,-0.5000000000000004,1,0,0,,3,,,1.0,1.0,14.666666666666666,33.0,,
