date,river_id,station,state,district_lgd_code,district,latitude,longitude,mean_discharge_m3_sec,max_discharge_m3_sec,min_discharge_m3_sec,readings,year,month,day_of_year,discharge_range,discharge_mean_to_max_ratio,discharge_min_to_mean_ratio,mean_discharge_3day,mean_discharge_7day,mean_discharge_14day,mean_discharge_30day,max_discharge_3day,max_discharge_7day,max_discharge_14day,max_discharge_30day,min_discharge_3day,min_discharge_7day,min_discharge_14day,min_discharge_30day,discharge_std_7day,discharge_std_14day,discharge_std_30day,discharge_change,discharge_change_pct,discharge_change_2nd
2026-01-01,1,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,48.156236559139785,55.27,40.21,93,2026,1,1,15.060000000000002,0.87129069222254,0.8349904991146648,48.156236559139785,48.156236559139785,48.156236559139785,48.156236559139785,55.27,55.27,55.27,55.27,40.21,40.21,40.21,40.21,0.0,0.0,0.0,,0.0,
2026-01-02,2,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,21.66084210526316,24.68,16.93,95,2026,1,2,7.75,0.8776678324660924,0.7815947282994293,34.90853933220147,34.90853933220147,34.90853933220147,34.90853933220147,55.27,55.27,55.27,55.27,16.93,16.93,16.93,16.93,18.735073088548603,18.735073088548603,18.735073088548603,-26.495394453876624,-0.5501965341776266,
2026-01-03,3,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,18.345052631578948,22.52,15.02,95,2026,1,3,7.5,0.8146115733383192,0.8187493544796245,29.387377098660632,29.387377098660632,29.387377098660632,29.387377098660632,55.27,55.27,55.27,55.27,15.02,15.02,15.02,15.02,16.338640673075044,16.338640673075044,16.338640673075044,-3.3157894736842124,-0.153077588469127,23.179604980192412
2026-01-04,4,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,20.697021276595745,25.49,17.02,94,2026,1,4,8.469999999999999,0.8119663113611513,0.8223405567663143,20.234305337812618,27.21478814314441,27.21478814314441,27.21478814314441,25.49,55.27,55.27,55.27,15.02,15.02,15.02,15.02,14.030253874197442,14.030253874197442,14.030253874197442,2.3519686450167967,0.1282072443318123,5.667758118701009
2026-01-05,5,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,24.144,28.49,18.27,95,2026,1,5,10.219999999999999,0.8474552474552475,0.7567097415506958,21.06202463605823,26.60063051451553,26.60063051451553,26.60063051451553,28.49,55.27,55.27,55.27,15.02,15.02,15.02,15.02,12.227917475794458,12.227917475794458,12.227917475794458,3.4469787234042535,0.1665446770015213,1.0950100783874568
2026-01-06,6,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,52.43305263157895,83.37,29.25,95,2026,1,6,54.120000000000005,0.6289199068199466,0.5578542261410038,32.4246913027249,30.906034200692762,30.906034200692762,30.906034200692762,83.37,83.37,83.37,83.37,17.02,15.02,15.02,15.02,15.193307014654936,15.193307014654936,15.193307014654936,28.289052631578954,1.1716804436538668,24.8420739081747
2026-01-07,7,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,84.098125,106.15,51.15,96,2026,1,7,55.00000000000001,0.792257418747056,0.6082180785837972,53.55839254385965,38.50490431487952,38.50490431487952,38.50490431487952,106.15,106.15,106.15,106.15,18.27,15.02,15.02,15.02,24.424651566001906,24.424651566001906,24.424651566001906,31.665072368421043,0.603914339890065,3.376019736842089
2026-01-08,8,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2660.476046511628,,316.07,43,2026,1,8,,,0.1188020468797025,932.3357413810689,411.69344859380635,366.25129708947304,366.25129708947304,106.15,106.15,106.15,106.15,29.25,15.02,15.02,15.02,991.9115448513191,927.2825481190554,927.2825481190554,2576.377921511628,30.635378868573206,2544.7128491432068
2026-02-01,9,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,47.36173913043478,55.7,41.01,23,2026,2,32,14.690000000000005,0.850300522988057,0.8658888113685602,47.36173913043478,47.36173913043478,47.36173913043478,415.36500531168804,55.7,55.7,55.7,106.15,41.01,41.01,41.01,15.02,0.0,0.0,990.2734365610936,-2613.114307381193,-0.9821980208419713,-5189.492228892821
2026-02-02,10,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,21.023191489361704,24.37,17.02,94,2026,2,33,7.350000000000001,0.8626668645614158,0.8095821230859537,34.19246530989824,34.19246530989824,34.19246530989824,415.7475965770856,55.7,55.7,55.7,106.15,17.02,17.02,17.02,17.02,18.624165643607714,18.624165643607714,990.0949848054262,-26.338547641073074,-0.5561144528188968,2586.77575974012
